"","f[i]","label","Label","TotalOrTargetOverlap","UnionOverlap","MeanOverlap","VolumeSimilarity","FalseNegativeError","FalsePositiveError","Label","TotalOrTargetOverlap","UnionOverlap","MeanOverlap","VolumeSimilarity","FalseNegativeError","FalsePositiveError"
"68","Scan_0011__rec-18um-tx-simple-label.nrrd",4,"All",0.926479882030756,0.848052448900887,0.917779632721202,0.0187813021702838,0.0735201179692437,2.58321223913013e-05,"All",0.916157573204129,0.855597088333661,0.922179813401187,-0.0131467345207803,0.0838424267958711,1.9771282741406e-05
"69","Scan_0011__rec-18um-tx-simple-label.nrrd",5,"All",0.972315364113146,0.915634361590155,0.955959425190195,0.033643279797126,0.0276846358868541,4.2384203266162e-05,"All",0.905081248387929,0.884919300605245,0.938946617312581,-0.0748338759309637,0.0949187516120712,1.55997414799069e-05
"70","Scan_0011__rec-18um-tx-simple-label.nrrd",6,"All",0.979540989462404,0.911242554393427,0.953560344602759,0.0530465700550286,0.020459010537596,0.000497006237656267,"All",0.96343989998214,0.885196672081918,0.939102731498407,0.0505214045716474,0.0365601000178603,0.000586127456251845
"71","Scan_0011__rec-18um-tx-simple-label.nrrd",7,"All",0.862068965517241,0.833333333333333,0.909090909090909,-0.109090909090909,0.137931034482759,1.00008241855696e-06,"All",0.920892494929006,0.871401151631478,0.931282051282051,-0.0225641025641026,0.0791075050709939,1.64719457174088e-06
"72","Scan_0011__rec-18um-tx-simple-label.nrrd",8,"All",0.897560975609756,0.853828306264501,0.921151439299124,-0.0525657071339174,0.102439024390244,1.23538989669905e-06,"All",0.924390243902439,0.861363636363636,0.925518925518925,-0.00244200244200244,0.075609756097561,1.76484270957007e-06
"73","Scan_0011__rec-18um-tx-simple-label.nrrd",9,"All",0.912442396313364,0.856216216216216,0.922539312754805,-0.0221316249271986,0.0875576036866359,3.35329149680578e-06,"All",0.850230414746544,0.753830439223698,0.859638905066977,-0.0221316249271986,0.149769585253456,6.53009396746389e-06
"74","Scan_0011__rec-18um-tx-simple-label.nrrd",10,"All",0.923594749242679,0.844827586206897,0.91588785046729,0.0166889185580774,0.0764052507573208,1.62978364298536e-05,"All",0.870414002019522,0.781032920567804,0.877056130235713,-0.0152619976259115,0.129585997980478,2.00045645709395e-05
"75","Scan_0011__rec-18um-tx-simple-label.nrrd",11,"All",0.960616273471353,0.938652615732029,0.968355659095321,-0.0161133760434867,0.0393837265286471,1.43036194573254e-05,"All",0.954357246027925,0.9129513633014,0.954495112438003,-0.000288919921028555,0.0456427539720751,2.77242994419764e-05
"76","Scan_0011__rec-18um-tx-simple-label.nrrd",12,"All",0.930574098798398,0.88676844783715,0.939986513823331,-0.0202292650033715,0.0694259012016021,2.17668275078341e-06,"All",0.805073431241656,0.698725376593279,0.822646657571623,-0.043656207366985,0.194926568758344,6.7065360429543e-06
"77","Scan_0011__rec-18um-tx-simple-label.nrrd",13,"All",0.965065502183406,0.908219178082192,0.951902368987796,0.0272792534099067,0.0349344978165939,2.52964910531312e-06,"All",0.874818049490539,0.804551539491299,0.891691394658754,-0.0385756676557863,0.125181950509461,3.52974293764621e-06
"78","Scan_0011__rec-18um-tx-simple-label.nrrd",14,"All",0.986600006614559,0.958251465588778,0.978680708200737,0.0160537165228612,0.0133999933854414,0.000319128554876257,"All",0.976231685940756,0.932264415130492,0.964944971123461,0.0231230249536886,0.0237683140592444,0.000508750496650131
"79","Scan_0011__rec-18um-tx-simple-label.nrrd",15,"All",0.964363770216486,0.879484704796274,0.935878544317928,0.0590756865371735,0.0356362297835139,0.000247410520107634,"All",0.976487910368785,0.891495662767008,0.942635693346362,0.0693346362263481,0.0235120896312145,0.000244402668730878
"80","Scan_0011__rec-18um-tx-simple-label.nrrd",16,"All",0.851060162041027,0.774552871038594,0.87295553001503,-0.051454336486606,0.148939837958973,3.37191895319159e-05,"All",0.840199965523186,0.742535039609994,0.852246896310544,-0.0286763420178353,0.159800034476814,4.4900072622778e-05
"81","Scan_0012__rec-18um-tx-simple-label.nrrd",1,"All",0.866499469470435,0.861513378728301,0.925605358062854,-0.136424523441525,0.133500530529565,3.53175414870745e-06,"All",0.8249252435613,0.817356398738412,0.899500394425454,-0.180804627925322,0.1750747564387,5.65080663793192e-06
"82","Scan_0012__rec-18um-tx-simple-label.nrrd",2,"All",0.84062247180317,0.816832369942197,0.899182977423706,-0.139326529053934,0.159377528196831,3.60464808769001e-05,"All",0.783229429400847,0.735125960335894,0.847345930082891,-0.163723420686815,0.216770570599153,8.09867830159113e-05
"83","Scan_0012__rec-18um-tx-simple-label.nrrd",3,"All",0.900981266726137,0.776524859046643,0.874206578188113,0.0594345066358915,0.0990187332738626,3.17138499913714e-05,"All",0.830211121022896,0.681141741888265,0.8103323175156,0.0478885502829778,0.169788878977104,4.33049973908151e-05
"84","Scan_0012__rec-18um-tx-simple-label.nrrd",4,"All",0.859543187188238,0.817682317682318,0.899697719153614,-0.0934322616103325,0.140456812811762,1.1473771869524e-05,"All",0.872932528222631,0.845625635808749,0.916356621193331,-0.0994901474438473,0.127067471777369,7.23730225616131e-06
"85","Scan_0012__rec-18um-tx-simple-label.nrrd",5,"All",0.922090171665723,0.851419613307786,0.919747859629316,0.00508044030482642,0.0779098283342766,5.1799777378684e-05,"All",0.806734578381437,0.774587936967941,0.872977800459301,-0.164225567746874,0.193265421618563,2.5899888689342e-05
"86","Scan_0012__rec-18um-tx-simple-label.nrrd",6,"All",0.950351269673064,0.914443248550766,0.955309852347934,-0.0104352629035281,0.0496487303269359,0.000236844310552248,"All",0.919924251344244,0.883006677529032,0.937868875417642,-0.0390132645099334,0.0800757486557557,0.000252172315657954
"87","Scan_0012__rec-18um-tx-simple-label.nrrd",7,"All",0.833628318584071,0.759677419354839,0.863428047662695,-0.0714940421631531,0.166371681415929,3.23557447065855e-06,"All",0.686725663716814,0.632952691680261,0.775224775224775,-0.257742257742258,0.313274336283186,2.82377408348382e-06
"88","Scan_0012__rec-18um-tx-simple-label.nrrd",8,"All",0.760089686098655,0.689024390243902,0.815884476534296,-0.146811070998797,0.239910313901345,2.70609788567866e-06,"All",0.730941704035874,0.704103671706264,0.826362484157161,-0.261089987325729,0.269058295964126,1.00007965340298e-06
"89","Scan_0012__rec-18um-tx-simple-label.nrrd",9,"All",0.544622425629291,0.450331125827815,0.621004566210046,-0.280495759947815,0.455377574370709,1.07658343951113e-05,"All",0.570938215102975,0.473434535104364,0.642627173213136,-0.251126851255634,0.429061784897025,1.05893453066669e-05
"90","Scan_0012__rec-18um-tx-simple-label.nrrd",10,"All",0.761145342515404,0.70635721493441,0.827912477823773,-0.175438596491228,0.238854657484596,1.25909512363637e-05,"All",0.663283798477709,0.609593604263824,0.757450331125828,-0.283940397350993,0.336716201522291,1.42972016375532e-05
"91","Scan_0012__rec-18um-tx-simple-label.nrrd",11,"All",0.904025044722719,0.89111267853994,0.942421558114597,-0.0849456851135251,0.0959749552772809,9.53619255856753e-06,"All",0.892754919499106,0.880391637999471,0.93639178159302,-0.0977577633924383,0.107245080500894,9.24186562774754e-06
"92","Scan_0012__rec-18um-tx-simple-label.nrrd",12,"All",0.887955182072829,0.848728246318608,0.918175235336713,-0.0680666183924692,0.112044817927171,1.9413616993339e-06,"All",0.827731092436975,0.797570850202429,0.887387387387387,-0.144144144144144,0.172268907563025,1.58838684490956e-06
"93","Scan_0012__rec-18um-tx-simple-label.nrrd",13,"All",0.909395973154362,0.842923794712286,0.914767932489452,-0.0118143459915612,0.0906040268456376,2.76495049915004e-06,"All",0.88255033557047,0.8416,0.913987836663771,-0.0712423979148566,0.11744966442953,1.7060332867096e-06
